Station_No,date,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity,hour,day_of_week,hour_sin,hour_cos,PM2.5_lag1,PM2.5_roll3
4,2021-04-01 14:00:00,0.2489639255986548,0.2765357349633364,0.4793261755457715,0.2213342645397931,0.1422676939917233,0.2773224134162766,0.0079821474565242,0.0,14,3,0.2500000000000001,0.0669872981077805,0.2774248033634831,0.277424803363483
1,2021-04-01 15:00:00,0.689912900060902,0.7259083808656547,0.7556183992410948,0.2891150803853658,0.0775971364654561,0.4184363534436623,0.7561385450045215,0.4226422237034677,15,3,0.1464466094067264,0.146446609406726,0.7250614830493561,0.7250614830493561
6,2021-04-01 15:00:00,0.5658117190311176,0.5835378176297299,0.518078387718233,0.6786713894735003,0.2431133493213287,0.9003403697005374,0.5440712406981254,0.6752248424165054,15,3,0.1464466094067264,0.146446609406726,0.5889008549094791,0.5889008549094791
5,2021-04-01 15:00:00,0.352352260091002,0.4221330285750328,0.6410684984780485,0.3392785302690171,0.1580563654105334,0.5936017286354331,0.5274470618019822,0.6888165931886506,15,3,0.1464466094067264,0.146446609406726,0.4291635276219323,0.4291635276219323
2,2021-04-01 15:00:00,0.3088851576803528,0.3343099733208083,0.262495387972922,0.4877217334216652,0.0458322738126269,0.6034199276597102,0.6665200179183763,0.5447834641444166,15,3,0.1464466094067264,0.146446609406726,0.334889662893896,0.3348896628938959
4,2021-04-01 15:00:00,0.2477701909733486,0.2756466665631898,0.4806018359110988,0.2202899204422354,0.1425251267614745,0.2751107687100321,0.0079821474565242,0.0,15,3,0.1464466094067264,0.146446609406726,0.2765357349633364,0.2765357349633364
3,2021-04-01 15:00:00,0.0,0.4412230795410112,0.3220171423979805,0.347762583912556,0.0797667638483965,0.5751354296848645,0.5786505144635177,0.6285384837128857,15,3,0.1464466094067264,0.146446609406726,0.4433728210525525,0.4433728210525524
2,2021-04-01 16:00:00,0.3085079064359672,0.3337302837477207,0.2598961219810433,0.4908686349002119,0.0436497845834542,0.6034199276597102,0.67362671976234,0.5373140472475891,16,3,0.0669872981077807,0.2499999999999997,0.3343099733208083,0.3343099733208082
1,2021-04-01 16:00:00,0.6912878219148434,0.7267552786819536,0.7535242252202822,0.2891150803853658,0.0780639105752518,0.4183879175019641,0.7542673543565284,0.4237538057399255,16,3,0.0669872981077807,0.2499999999999997,0.7259083808656547,0.7259083808656549
4,2021-04-01 16:00:00,0.2465764563480423,0.2747575981630432,0.4818774962764259,0.2192455763446778,0.1427825595312257,0.2728991240037876,0.0079821474565242,0.0,16,3,0.0669872981077807,0.2499999999999997,0.2756466665631898,0.2756466665631897
